方法名称1,方法名称2,方法参数,返回值类型,链接
Series.,sub,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sub.html
Series.,sub,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.sub.html
BusinessDay.,weekmask,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.weekmask.html
StataReader.,value_labels,(),dict,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataReader.value_labels.html
DataFrame.,floordiv,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.floordiv.html
BusinessDay.,weekmask,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.weekmask.html
Index.,unique,(level=None),Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.unique.html
DataFrameGroupBy.,rolling,"(*args, **kwargs)",RollingGroupby,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.rolling.html
Index.,putmask,"(mask, value)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.putmask.html
StataWriter.,write_file,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataWriter.write_file.html
DataFrame.,floordiv,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.floordiv.html
Timestamp.,isocalendar,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.isocalendar.html
Timestamp.,isocalendar,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.isocalendar.html
DataFrameGroupBy.,rolling,"(*args, **kwargs)",RollingGroupby,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.rolling.html
StataReader.,variable_labels,(),dict,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataReader.variable_labels.html
Series.,mul,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.mul.html
Series.,mul,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.mul.html
DataFrame.,mod,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.mod.html
Timestamp.,isoformat,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.isoformat.html
DataFrameGroupBy.,sample,"(n=None, frac=None, replace=False, weights=None, random_state=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.sample.html
Index.,unique,(level=None),Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.unique.html
Index.,nunique,(dropna=True),int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.nunique.html
StataWriter.,write_file,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataWriter.write_file.html
DataFrameGroupBy.,sample,"(n=None, frac=None, replace=False, weights=None, random_state=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.sample.html
BusinessDay.,holidays,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.holidays.html
DataFrame.,mod,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.mod.html
Timestamp.,isoformat,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.isoformat.html
BusinessDay.,holidays,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.holidays.html
Series.,div,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.div.html
Series.,div,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.div.html
DataFrameGroupBy.,sem,"(ddof=1, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.sem.html
Timestamp.,isoweekday,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.isoweekday.html
DataFrameGroupBy.,sem,"(ddof=1, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.sem.html
Index.,nunique,(dropna=True),int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.nunique.html
DataFrame.,pow,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.pow.html
Timestamp.,isoweekday,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.isoweekday.html
Index.,value_counts,"(normalize=False, sort=True, ascending=False, bins=None, dropna=True)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.value_counts.html
DataFrame.,pow,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.pow.html
BusinessDay.,calendar,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.calendar.html
DataFrameGroupBy.,shift,"(periods=1, freq=None, axis=0, fill_value=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.shift.html
BusinessDay.,calendar,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.calendar.html
Series.,truediv,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.truediv.html
Series.,truediv,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.truediv.html
DataFrameGroupBy.,shift,"(periods=1, freq=None, axis=0, fill_value=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.shift.html
Timestamp.,month_name,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.month_name.html
Index.,value_counts,"(normalize=False, sort=True, ascending=False, bins=None, dropna=True)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.value_counts.html
Timestamp.,month_name,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.month_name.html
DataFrame.,dot,(other),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.dot.html
Index.,set_names,"(names, *, level=None, inplace=False)",Index or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.set_names.html
DataFrame.,dot,(other),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.dot.html
DataFrameGroupBy.,size,(),DataFrame or Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.size.html
BusinessDay.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.copy.html
DataFrameGroupBy.,size,(),DataFrame or Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.size.html
Series.,floordiv,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.floordiv.html
Timestamp.,normalize,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.normalize.html
Series.,floordiv,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.floordiv.html
Index.,set_names,"(names, *, level=None, inplace=False)",Index or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.set_names.html
BusinessDay.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.copy.html
Timestamp.,normalize,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.normalize.html
DataFrame.,radd,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.radd.html
Index.,droplevel,(level=0),Index or MultiIndex,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.droplevel.html
DataFrameGroupBy.,skew,"(axis=_NoDefault.no_default, skipna=True, numeric_only=False, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.skew.html
DataFrame.,radd,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.radd.html
DataFrameGroupBy.,skew,"(axis=_NoDefault.no_default, skipna=True, numeric_only=False, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.skew.html
Timestamp.,now,(tz=None),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.now.html
Series.,mod,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.mod.html
Index.,droplevel,(level=0),Index or MultiIndex,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.droplevel.html
Series.,mod,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.mod.html
BusinessDay.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.is_anchored.html
Timestamp.,now,(tz=None),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.now.html
Index.,fillna,"(value=None, downcast=None)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.fillna.html
DataFrameGroupBy.,std,"(ddof=1, engine=None, engine_kwargs=None, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.std.html
BusinessDay.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.is_anchored.html
DataFrame.,rsub,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rsub.html
DataFrameGroupBy.,std,"(ddof=1, engine=None, engine_kwargs=None, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.std.html
DataFrame.,rsub,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rsub.html
Index.,fillna,"(value=None, downcast=None)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.fillna.html
Timestamp.,replace,"(year=None, month=None, day=None, hour=None, minute=None, second=None, microsecond=None, nanosecond=None, tzinfo=<class 'object'>, fold=None)",Timestamp with fields replaced,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.replace.html
DataFrameGroupBy.,sum,"(numeric_only=False, min_count=0, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.sum.html
Series.,pow,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.pow.html
Series.,pow,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.pow.html
Index.,dropna,(how='any'),Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.dropna.html
Timestamp.,replace,"(year=None, month=None, day=None, hour=None, minute=None, second=None, microsecond=None, nanosecond=None, tzinfo=<class 'object'>, fold=None)",Timestamp with fields replaced,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.replace.html
BusinessDay.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.is_on_offset.html
DataFrame.,rmul,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rmul.html
DataFrameGroupBy.,sum,"(numeric_only=False, min_count=0, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.sum.html
BusinessDay.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.is_on_offset.html
Index.,dropna,(how='any'),Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.dropna.html
DataFrame.,rmul,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rmul.html
DataFrameGroupBy.,var,"(ddof=1, engine=None, engine_kwargs=None, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.var.html
Timestamp.,round,"(freq, ambiguous='raise', nonexistent='raise')",a new Timestamp rounded to the given resolution of freq,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.round.html
Series.,radd,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.radd.html
Series.,radd,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.radd.html
Index.,isna,(),numpy.ndarray[bool],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.isna.html
DataFrameGroupBy.,var,"(ddof=1, engine=None, engine_kwargs=None, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.var.html
Timestamp.,round,"(freq, ambiguous='raise', nonexistent='raise')",a new Timestamp rounded to the given resolution of freq,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.round.html
DataFrame.,rdiv,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rdiv.html
BusinessDay.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.is_month_start.html
Index.,isna,(),numpy.ndarray[bool],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.isna.html
DataFrameGroupBy.,tail,(n=5),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.tail.html
BusinessDay.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.is_month_start.html
DataFrame.,rdiv,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rdiv.html
Index.,notna,(),numpy.ndarray[bool],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.notna.html
